Original Value,Encoded Value
Arizona Diamondbacks,0
Athletics,1
Atlanta Braves,2
Baltimore Orioles,3
Boston Red Sox,4
Chicago Cubs,5
Chicago White Sox,6
Cincinnati Reds,7
Cleveland Guardians,8
Colorado Rockies,9
Detroit Tigers,10
Houston Astros,11
Kansas City Royals,12
Los Angeles Angels,13
Los Angeles Dodgers,14
Miami Marlins,15
Milwaukee Brewers,16
Minnesota Twins,17
New York Mets,18
New York Yankees,19
Philadelphia Phillies,20
Pittsburgh Pirates,21
San Diego Padres,22
San Francisco Giants,23
Seattle Mariners,24
St. Louis Cardinals,25
Tampa Bay Rays,26
Texas Rangers,27
Toronto Blue Jays,28
Washington Nationals,29
